2023-03-13 17:04:52.844 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zz.messagepush.web.WebTest], using SpringBootContextLoader
2023-03-13 17:04:52.854 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zz.messagepush.web.WebTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-03-13 17:04:52.856 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zz.messagepush.web.WebTest]: WebTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-03-13 17:04:53.082 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zz.messagepush.AustinWebApplication for test class com.zz.messagepush.web.WebTest
2023-03-13 17:04:53.184 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-03-13 17:04:53.200 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4b4dd216, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ca17ab0, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5a62b2a4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1051817b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@35293c05, org.springframework.test.context.support.DirtiesContextTestExecutionListener@620aa4ea, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2db2dd9d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3174cb09, org.springframework.test.context.event.EventPublishingTestExecutionListener@4d411036, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7adbd080, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@41beb473, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@560513ce, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@13006998, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@37fbe4a8, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@352c308]
2023-03-13 17:05:48.476 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zz.messagepush.web.WebTest], using SpringBootContextLoader
2023-03-13 17:05:48.486 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zz.messagepush.web.WebTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-03-13 17:05:48.488 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zz.messagepush.web.WebTest]: WebTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-03-13 17:05:48.651 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zz.messagepush.AustinWebApplication for test class com.zz.messagepush.web.WebTest
2023-03-13 17:05:48.778 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
