2023-03-14 09:05:44.183 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zz.messagepush.web.WebTest], using SpringBootContextLoader
2023-03-14 09:05:44.198 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zz.messagepush.web.WebTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-03-14 09:05:44.200 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zz.messagepush.web.WebTest]: WebTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-03-14 09:05:44.387 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zz.messagepush.AustinWebApplication for test class com.zz.messagepush.web.WebTest
2023-03-14 09:05:44.493 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-03-14 09:05:44.519 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@737edcfa, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3ecedf21, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@74cf8b28, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@36c54a56, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3359c978, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7ba63fe5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@73386d72, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6f330eb9, org.springframework.test.context.event.EventPublishingTestExecutionListener@125c082e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@584f5497, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@68ace111, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1f9d6c7b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6df20ade, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4fbb001b, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4010d494]
2023-03-14 09:16:13.685 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zz.messagepush.web.WebTest], using SpringBootContextLoader
2023-03-14 09:16:13.696 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zz.messagepush.web.WebTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-03-14 09:16:13.697 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zz.messagepush.web.WebTest]: WebTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-03-14 09:16:13.881 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zz.messagepush.AustinWebApplication for test class com.zz.messagepush.web.WebTest
2023-03-14 09:16:13.988 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
